code;beschrijving;medisch_of_chirurgisch;mdc;soort_hospitalisatie;aantal_verblijven
422;Hypovolemie en gerelateerde electrolytenstoornissen;Medisch;10;Klass. hosp;4732
422;Hypovolemie en gerelateerde electrolytenstoornissen;Medisch;10;Daghosp.;5
423;Congenitale afwijkingen van het metabolisme;Medisch;10;Klass. hosp;545
423;Congenitale afwijkingen van het metabolisme;Medisch;10;Daghosp.;300
424;Andere endocriene stoornissen;Medisch;10;Klass. hosp;3382
424;Andere endocriene stoornissen;Medisch;10;Daghosp.;256
425;Andere elektrolytenstoornissen behalve in verband met hypovolemie;Medisch;10;Klass. hosp;4022
425;Andere elektrolytenstoornissen behalve in verband met hypovolemie;Medisch;10;Daghosp.;45
440;Niertransplantatie;Chirurgisch;11;Klass. hosp;491
441;Majeure procedures op de blaas;Chirurgisch;11;Klass. hosp;1608
441;Majeure procedures op de blaas;Chirurgisch;11;Daghosp.;103
442;Procedures op nier en urinewegen voor maligne aandoening;Chirurgisch;11;Klass. hosp;2193
442;Procedures op nier en urinewegen voor maligne aandoening;Chirurgisch;11;Daghosp.;44
443;Procedures op nier en urinewegen voor niet maligne aandoening;Chirurgisch;11;Klass. hosp;7982
443;Procedures op nier en urinewegen voor niet maligne aandoening;Chirurgisch;11;Daghosp.;7441
444;Procedure enkel voor het aanleggen van een dialyse toegangsweg toestel;Chirurgisch;11;Klass. hosp;1073
444;Procedure enkel voor het aanleggen van een dialyse toegangsweg toestel;Chirurgisch;11;Daghosp.;375
445;Andere procedures op de blaas;Chirurgisch;11;Klass. hosp;1438
445;Andere procedures op de blaas;Chirurgisch;11;Daghosp.;448
446;Transurethrale en urethrale procedures;Chirurgisch;11;Klass. hosp;13997
446;Transurethrale en urethrale procedures;Chirurgisch;11;Daghosp.;3449
447;Andere procedures op nieren, urinewegen en gerelateerde procedures;Chirurgisch;11;Klass. hosp;560
447;Andere procedures op nieren, urinewegen en gerelateerde procedures;Chirurgisch;11;Daghosp.;80
461;Maligne aandoening van de nier en urinewegen;Medisch;11;Klass. hosp;1952
461;Maligne aandoening van de nier en urinewegen;Medisch;11;Daghosp.;3920
462;Nefritis en nefrose;Medisch;11;Klass. hosp;823
462;Nefritis en nefrose;Medisch;11;Daghosp.;186
463;Infecties van de nier en de urinewegen;Medisch;11;Klass. hosp;22237
463;Infecties van de nier en de urinewegen;Medisch;11;Daghosp.;1105
465;Urinaire stenen en verworven bovenste urinewegobstructie;Medisch;11;Klass. hosp;12147
465;Urinaire stenen en verworven bovenste urinewegobstructie;Medisch;11;Daghosp.;12869
466;Dysfunctie, reactie op en complicatie van genito-urinair toestel of procedure;Medisch;11;Klass. hosp;2450
466;Dysfunctie, reactie op en complicatie van genito-urinair toestel of procedure;Medisch;11;Daghosp.;494
468;Andere nier en urinewegen diagnosen, tekens en symptomen;Medisch;11;Klass. hosp;10823
468;Andere nier en urinewegen diagnosen, tekens en symptomen;Medisch;11;Daghosp.;20153
469;Acute nierziekten;Medisch;11;Klass. hosp;2811
469;Acute nierziekten;Medisch;11;Daghosp.;43
470;Chronische nierziekten;Medisch;11;Klass. hosp;3131
470;Chronische nierziekten;Medisch;11;Daghosp.;813
480;Majeure procedures in het kleine bekken bij de man;Chirurgisch;12;Klass. hosp;3915
480;Majeure procedures in het kleine bekken bij de man;Chirurgisch;12;Daghosp.;4
481;Procedures op de penis;Chirurgisch;12;Klass. hosp;1176
481;Procedures op de penis;Chirurgisch;12;Daghosp.;3091
482;Transurethrale prostatectomie;Chirurgisch;12;Klass. hosp;8124
482;Transurethrale prostatectomie;Chirurgisch;12;Daghosp.;77
483;Procedures op de testes en het scrotum;Chirurgisch;12;Klass. hosp;2367
483;Procedures op de testes en het scrotum;Chirurgisch;12;Daghosp.;5539
484;Andere procedures op het mannelijk voortplantingsstelsel en gerelateerde procedures;Chirurgisch;12;Klass. hosp;1773
484;Andere procedures op het mannelijk voortplantingsstelsel en gerelateerde procedures;Chirurgisch;12;Daghosp.;334
500;Maligne aandoening van het mannelijk voortplantingsstelsel;Medisch;12;Klass. hosp;1332
500;Maligne aandoening van het mannelijk voortplantingsstelsel;Medisch;12;Daghosp.;2976
501;Diagnosen van het mannelijk voortplantingsstelsel behalve maligne aandoeningen;Medisch;12;Klass. hosp;4991
501;Diagnosen van het mannelijk voortplantingsstelsel behalve maligne aandoeningen;Medisch;12;Daghosp.;38563
510;Evisceratie van het kleine bekken, radicale hysterectomie en andere radicale gynaecologische procedures;Chirurgisch;13;Klass. hosp;1067
510;Evisceratie van het kleine bekken, radicale hysterectomie en andere radicale gynaecologische procedures;Chirurgisch;13;Daghosp.;2
511;Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;Chirurgisch;13;Klass. hosp;694
511;Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;Chirurgisch;13;Daghosp.;49
512;Procedures op uterus/adnexen voor maligne aandoening behalve ovaria en adnexen;Chirurgisch;13;Klass. hosp;1027
512;Procedures op uterus/adnexen voor maligne aandoening behalve ovaria en adnexen;Chirurgisch;13;Daghosp.;100
513;Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;Chirurgisch;13;Klass. hosp;14390
513;Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;Chirurgisch;13;Daghosp.;9146
514;Reconstructieve procedures op het vrouwelijke voortplantingsstelsel;Chirurgisch;13;Klass. hosp;4294
514;Reconstructieve procedures op het vrouwelijke voortplantingsstelsel;Chirurgisch;13;Daghosp.;558
517;Dilatatie en curettage voor niet-verloskundige diagnosen;Chirurgisch;13;Klass. hosp;755
517;Dilatatie en curettage voor niet-verloskundige diagnosen;Chirurgisch;13;Daghosp.;7770
518;Andere procedures op het vrouwelijke voortplantingsstelsel en gerelateerde procedures;Chirurgisch;13;Klass. hosp;2077
518;Andere procedures op het vrouwelijke voortplantingsstelsel en gerelateerde procedures;Chirurgisch;13;Daghosp.;5000
519;Procedures op uterus/adnexen voor leiomyoma;Chirurgisch;13;Klass. hosp;5211
519;Procedures op uterus/adnexen voor leiomyoma;Chirurgisch;13;Daghosp.;1165
530;Maligne aandoening van het vrouwelijke voortplantingsstelsel;Medisch;13;Klass. hosp;1319
530;Maligne aandoening van het vrouwelijke voortplantingsstelsel;Medisch;13;Daghosp.;1183
531;Infecties van het vrouwelijke voortplantingsstelsel;Medisch;13;Klass. hosp;877
531;Infecties van het vrouwelijke voortplantingsstelsel;Medisch;13;Daghosp.;430
532;Menstruatiestoornissen en andere stoornissen van het vrouwelijke voortplantingsstelsel;Medisch;13;Klass. hosp;2066
532;Menstruatiestoornissen en andere stoornissen van het vrouwelijke voortplantingsstelsel;Medisch;13;Daghosp.;10945
540;Bevalling met sectio caesarea;Chirurgisch;14;Klass. hosp;25523
540;Bevalling met sectio caesarea;Chirurgisch;14;Daghosp.;79
541;Vaginale bevalling met sterilisatie en/of dilatatie en curettage;Chirurgisch;14;Klass. hosp;2651
541;Vaginale bevalling met sterilisatie en/of dilatatie en curettage;Chirurgisch;14;Daghosp.;152
542;Vaginale bevalling met gecompliceerde procedures behalve sterilisatie en/of dilatatie en curettage;Chirurgisch;14;Klass. hosp;1501
542;Vaginale bevalling met gecompliceerde procedures behalve sterilisatie en/of dilatatie en curettage;Chirurgisch;14;Daghosp.;11
544;Dilatatie en curettage, aspiratie curettage of hysterotomie voor verloskundige diagnosen;Chirurgisch;14;Klass. hosp;1676
544;Dilatatie en curettage, aspiratie curettage of hysterotomie voor verloskundige diagnosen;Chirurgisch;14;Daghosp.;9415
545;Procedure voor ectopische zwangerschap;Chirurgisch;14;Klass. hosp;1353
545;Procedure voor ectopische zwangerschap;Chirurgisch;14;Daghosp.;142
546;Andere operatiezaal procedures voor verloskundige diagnosen behalve bevalling;Chirurgisch;14;Klass. hosp;602
546;Andere operatiezaal procedures voor verloskundige diagnosen behalve bevalling;Chirurgisch;14;Daghosp.;337
560;Vaginale bevalling;Medisch;14;Klass. hosp;90786
560;Vaginale bevalling;Medisch;14;Daghosp.;1874
561;Diagnosen in het postpartum en post abortus, zonder ingrepen;Medisch;14;Klass. hosp;1854
561;Diagnosen in het postpartum en post abortus, zonder ingrepen;Medisch;14;Daghosp.;98
563;Vroegtijdige arbeid;Medisch;14;Klass. hosp;4016
563;Vroegtijdige arbeid;Medisch;14;Daghosp.;16
564;Abortus, zonder dilatatie en curettage, aspiratie curettage of hysterotomie;Medisch;14;Klass. hosp;894
564;Abortus, zonder dilatatie en curettage, aspiratie curettage of hysterotomie;Medisch;14;Daghosp.;283
565;Valse arbeid;Medisch;14;Klass. hosp;1462
565;Valse arbeid;Medisch;14;Daghosp.;17
566;Andere diagnosen in het antepartum;Medisch;14;Klass. hosp;12289
566;Andere diagnosen in het antepartum;Medisch;14;Daghosp.;1809
580;Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;Medisch;15;Klass. hosp;74
580;Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;Medisch;15;Daghosp.;2
581;Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;Medisch;15;Klass. hosp;60
581;Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;Medisch;15;Daghosp.;9
583;Pasgeborene, met extracorporele membraanoxygenatie (ECMO);Chirurgisch;15;Klass. hosp;14
588;Pasgeborene, geboortegewicht < 1 500 g met majeure procedure;Chirurgisch;15;Klass. hosp;81
589;Pasgeborene, geboortegewicht < 500 g of zwangerschapsduur < 24 weken;Medisch;15;Klass. hosp;12
591;Pasgeborene, geboortegewicht 500-749 g zonder majeure procedure;Medisch;15;Klass. hosp;114
593;Pasgeborene, geboortegewicht 750-999 g zonder majeure procedure;Medisch;15;Klass. hosp;263
602;Pasgeborene, geboortegewicht 1 000-1 249 g met respiratoire distress syndroom/andere majeure respiratoire anomalie of majeure anomalie;Medisch;15;Klass. hosp;224
603;Pasgeborene, geboortegewicht 1 000-1 249 g met of zonder andere significante aandoening;Medisch;15;Klass. hosp;57
607;Pasgeborene, geboortegewicht 1 250-1 499 g met respiratoire distress syndroom/andere majeure respiratoire of majeure anomalie;Medisch;15;Klass. hosp;267
608;Pasgeborene, geboortegewicht 1 250-1 499 g met of zonder andere significante aandoening;Medisch;15;Klass. hosp;109
609;Pasgeborene, geboortegewicht 1 500-2 499 g met majeure procedure;Chirurgisch;15;Klass. hosp;62
611;Pasgeborene, geboortegewicht 1 500-1 999 g met majeure anomalie;Medisch;15;Klass. hosp;212
612;Pasgeborene, geboortegewicht 1 500-1 999 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;Medisch;15;Klass. hosp;323
613;Pasgeborene, geboortegewicht 1 500-1 999 g met congenitale of perinatale infecties;Medisch;15;Klass. hosp;62
614;Andere pasgeborene, geboortegewicht 1 500-1 999 g met of zonder andere significante aandoening;Medisch;15;Klass. hosp;407
621;Pasgeborene, geboortegewicht 2 000-2 499 g met majeure anomalie;Medisch;15;Klass. hosp;190
622;Pasgeborene, geboortegewicht 2 000-2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;Medisch;15;Klass. hosp;263
623;Pasgeborene, geboortegewicht 2 000-2 499 g met congenitale of perinatale infectie;Medisch;15;Klass. hosp;49
625;Pasgeborene, geboortegewicht 2 000-2 499 g, hier geboren, met andere significante aandoening;Medisch;15;Klass. hosp;242
626;Pasgeborene, geboortegewicht 2 000-2 499 g, normale pasgeborene of pasgeborene met ander probleem;Medisch;15;Klass. hosp;440
630;Pasgeborene, geboortegewicht > 2 499 g met majeure cardiovasculaire procedures;Chirurgisch;15;Klass. hosp;101
631;Pasgeborene, geboortegewicht > 2 499 g met andere majeure procedure;Chirurgisch;15;Klass. hosp;114
633;Pasgeborene, geboortegewicht > 2 499 g met majeure anomalie;Medisch;15;Klass. hosp;462
634;Pasgeborene, geboortegewicht > 2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;Medisch;15;Klass. hosp;594
636;Pasgeborene, geboortegewicht > 2 499 g met congenitale of perinatale infecties;Medisch;15;Klass. hosp;273
639;Pasgeborene, geboortegewicht > 2 499 g hier geboren, met andere significante aandoening;Medisch;15;Klass. hosp;697
640;Pasgeborene, geboortegewicht > 2 499 g, normale pasgeborene of met ander probleem;Medisch;15;Klass. hosp;2009
640;Pasgeborene, geboortegewicht > 2 499 g, normale pasgeborene of met ander probleem;Medisch;15;Daghosp.;19
650;Splenectomie;Chirurgisch;16;Klass. hosp;203
651;Andere procedures op bloed en bloedvormende organen;Chirurgisch;16;Klass. hosp;850
651;Andere procedures op bloed en bloedvormende organen;Chirurgisch;16;Daghosp.;804
660;Majeure hemato-/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;Medisch;16;Klass. hosp;3974
660;Majeure hemato-/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;Medisch;16;Daghosp.;3935
661;Bloedstollingsstoornissen en bloedplaatjes;Medisch;16;Klass. hosp;1240
661;Bloedstollingsstoornissen en bloedplaatjes;Medisch;16;Daghosp.;1984
662;Crisis van sikkelcelanemie;Medisch;16;Klass. hosp;829
662;Crisis van sikkelcelanemie;Medisch;16;Daghosp.;92
663;Andere anemia en bloedstoornissen en hematopoietische organen;Medisch;16;Klass. hosp;10275
663;Andere anemia en bloedstoornissen en hematopoietische organen;Medisch;16;Daghosp.;17991
680;Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;Chirurgisch;17;Klass. hosp;896
680;Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;Chirurgisch;17;Daghosp.;27
681;Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;Chirurgisch;17;Klass. hosp;3494
681;Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;Chirurgisch;17;Daghosp.;1386
690;Acute leukemie;Medisch;17;Klass. hosp;1210
690;Acute leukemie;Medisch;17;Daghosp.;4234
691;Lymfoom, myeloom en niet-acute leukemie;Medisch;17;Klass. hosp;3258
691;Lymfoom, myeloom en niet-acute leukemie;Medisch;17;Daghosp.;8254
692;Radiotherapie;Medisch;17;Klass. hosp;711
692;Radiotherapie;Medisch;17;Daghosp.;454
694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;Medisch;17;Klass. hosp;2745
694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;Medisch;17;Daghosp.;15015
695;Chemotherapie voor acute leukemie;Medisch;17;Klass. hosp;1196
695;Chemotherapie voor acute leukemie;Medisch;17;Daghosp.;4548
696;Andere chemotherapie;Medisch;17;Klass. hosp;23579
696;Andere chemotherapie;Medisch;17;Daghosp.;353556
710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;Chirurgisch;18;Klass. hosp;2604
710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;Chirurgisch;18;Daghosp.;150
711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;Chirurgisch;18;Klass. hosp;2083
711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;Chirurgisch;18;Daghosp.;347
720;Septicemie en gedissemineerde infecties;Medisch;18;Klass. hosp;11435
720;Septicemie en gedissemineerde infecties;Medisch;18;Daghosp.;18
721;Postoperatieve, posttraumatische en andere toestel infecties;Medisch;18;Klass. hosp;3658
721;Postoperatieve, posttraumatische en andere toestel infecties;Medisch;18;Daghosp.;304
722;Koorts;Medisch;18;Klass. hosp;3587
722;Koorts;Medisch;18;Daghosp.;45
723;Virale ziekte;Medisch;18;Klass. hosp;9989
723;Virale ziekte;Medisch;18;Daghosp.;45
724;Andere infectieuze en parasitaire ziekten;Medisch;18;Klass. hosp;3328
724;Andere infectieuze en parasitaire ziekten;Medisch;18;Daghosp.;245
740;Diagnosen van mentale ziekte met operatiezaal procedures;Chirurgisch;19;Klass. hosp;819
740;Diagnosen van mentale ziekte met operatiezaal procedures;Chirurgisch;19;Daghosp.;61
750;Schizofrenie;Medisch;19;Klass. hosp;563
750;Schizofrenie;Medisch;19;Daghosp.;23
751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;Medisch;19;Klass. hosp;3082
751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;Medisch;19;Daghosp.;1965
752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;Medisch;19;Klass. hosp;489
752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;Medisch;19;Daghosp.;1
753;Bipolaire stoornissen;Medisch;19;Klass. hosp;1343
753;Bipolaire stoornissen;Medisch;19;Daghosp.;199
754;Depressie, behalve majeure depressieve diagnosen;Medisch;19;Klass. hosp;3032
754;Depressie, behalve majeure depressieve diagnosen;Medisch;19;Daghosp.;301
755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;Medisch;19;Klass. hosp;2771
755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;Medisch;19;Daghosp.;101
756;Acute angst en delirante toestanden;Medisch;19;Klass. hosp;3885
756;Acute angst en delirante toestanden;Medisch;19;Daghosp.;19
757;Organische stoornissen van de geestelijke gezondheid;Medisch;19;Klass. hosp;5235
757;Organische stoornissen van de geestelijke gezondheid;Medisch;19;Daghosp.;185
758;Gedragsstoornissen;Medisch;19;Klass. hosp;627
758;Gedragsstoornissen;Medisch;19;Daghosp.;37
759;Eetstoornissen;Medisch;19;Klass. hosp;302
759;Eetstoornissen;Medisch;19;Daghosp.;3
760;Andere stoornissen van de mentale gezondheid;Medisch;19;Klass. hosp;4703
760;Andere stoornissen van de mentale gezondheid;Medisch;19;Daghosp.;361
770;Alcohol en drugs- misbruik of verslaving, ontslag tegen medisch advies;Medisch;20;Klass. hosp;687
770;Alcohol en drugs- misbruik of verslaving, ontslag tegen medisch advies;Medisch;20;Daghosp.;3
772;Alcohol en drugs- verslaving met revalidatietherapie of revalidatie/detoxificatietherapie;Medisch;20;Klass. hosp;1649
772;Alcohol en drugs- verslaving met revalidatietherapie of revalidatie/detoxificatietherapie;Medisch;20;Daghosp.;133
773;Misbruik van en verslaving aan opiaten;Medisch;20;Klass. hosp;593
773;Misbruik van en verslaving aan opiaten;Medisch;20;Daghosp.;3
774;Misbruik van en verslaving aan cocaine;Medisch;20;Klass. hosp;395
774;Misbruik van en verslaving aan cocaine;Medisch;20;Daghosp.;3
775;Misbruik van en verslaving aan alcohol;Medisch;20;Klass. hosp;9161
775;Misbruik van en verslaving aan alcohol;Medisch;20;Daghosp.;217
776;Misbruik van en verslaving aan andere drugs;Medisch;20;Klass. hosp;937
776;Misbruik van en verslaving aan andere drugs;Medisch;20;Daghosp.;3
791;Operatiezaal procedures voor andere complicaties van de behandeling;Chirurgisch;21;Klass. hosp;3936
791;Operatiezaal procedures voor andere complicaties van de behandeling;Chirurgisch;21;Daghosp.;1445
811;Allergische reacties;Medisch;21;Klass. hosp;1316
811;Allergische reacties;Medisch;21;Daghosp.;7
812;Vergiftiging door geneesmiddellen;Medisch;21;Klass. hosp;11467
812;Vergiftiging door geneesmiddellen;Medisch;21;Daghosp.;42
813;Andere complicaties van de behandeling;Medisch;21;Klass. hosp;4866
813;Andere complicaties van de behandeling;Medisch;21;Daghosp.;1241
815;Andere diagnosen van letsels, vergiftigingen en toxische effecten;Medisch;21;Klass. hosp;2496
815;Andere diagnosen van letsels, vergiftigingen en toxische effecten;Medisch;21;Daghosp.;60
816;Toxische effecten van niet-medische substanties;Medisch;21;Klass. hosp;1847
816;Toxische effecten van niet-medische substanties;Medisch;21;Daghosp.;18
841;Extensieve derde graad brandwonden met huidgreffe;Chirurgisch;22;Klass. hosp;18
842;Brandwonden met huidgreffe behalve extensieve derde graad brandwonden;Chirurgisch;22;Klass. hosp;340
842;Brandwonden met huidgreffe behalve extensieve derde graad brandwonden;Chirurgisch;22;Daghosp.;67
843;Extensieve derde graad of ^{unicode 201C}full thickness^{unicode 201D} brandwonden zonder huidgreffe;Medisch;22;Klass. hosp;15
844;^{unicode 201C}Partial thickness^{unicode 201D} brandwonden zonder huidgreffe;Medisch;22;Klass. hosp;829
844;^{unicode 201C}Partial thickness^{unicode 201D} brandwonden zonder huidgreffe;Medisch;22;Daghosp.;52
850;Procedures met diagnosen van revalidatie, nazorg of andere contacten met gezondheidsinstellingen;Chirurgisch;23;Klass. hosp;10871
850;Procedures met diagnosen van revalidatie, nazorg of andere contacten met gezondheidsinstellingen;Chirurgisch;23;Daghosp.;36582
860;Revalidatie;Medisch;23;Klass. hosp;10289
860;Revalidatie;Medisch;23;Daghosp.;10
861;Tekens, symptomen en andere factoren met invloed op de gezondheidstoestand;Medisch;23;Klass. hosp;36880
861;Tekens, symptomen en andere factoren met invloed op de gezondheidstoestand;Medisch;23;Daghosp.;251238
862;Andere nazorg en convalescentie;Medisch;23;Klass. hosp;22135
862;Andere nazorg en convalescentie;Medisch;23;Daghosp.;66251
863;Neonatale nazorg;Medisch;23;Klass. hosp;914
863;Neonatale nazorg;Medisch;23;Daghosp.;8
890;HIV met multipele majeure HIV gerelateerde aandoeningen;Medisch;24;Klass. hosp;141
892;HIV met majeure HIV gerelateerde aandoeningen;Medisch;24;Klass. hosp;295
892;HIV met majeure HIV gerelateerde aandoeningen;Medisch;24;Daghosp.;118
893;HIV met multipele significante HIV gerelateerde aandoeningen;Medisch;24;Klass. hosp;67
893;HIV met multipele significante HIV gerelateerde aandoeningen;Medisch;24;Daghosp.;6
894;HIV met een significante HIV aandoening of zonder significante gerelateerde aandoeningen;Medisch;24;Klass. hosp;315
894;HIV met een significante HIV aandoening of zonder significante gerelateerde aandoeningen;Medisch;24;Daghosp.;156
910;Craniotomie voor multipele significante traumata;Chirurgisch;25;Klass. hosp;215
911;Extensieve abdominale/thoracale procedures voor multipele significante traumata;Chirurgisch;25;Klass. hosp;188
911;Extensieve abdominale/thoracale procedures voor multipele significante traumata;Chirurgisch;25;Daghosp.;1
912;Musculo-skeletale en andere procedures voor multipele significante traumata;Chirurgisch;25;Klass. hosp;1327
912;Musculo-skeletale en andere procedures voor multipele significante traumata;Chirurgisch;25;Daghosp.;3
930;Multipele significante traumata zonder operatiezaal procedures;Medisch;25;Klass. hosp;1303
930;Multipele significante traumata zonder operatiezaal procedures;Medisch;25;Daghosp.;19
950;Extensieve procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Klass. hosp;5106
950;Extensieve procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Daghosp.;1325
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Klass. hosp;12966
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Daghosp.;3328
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Klass. hosp;5826
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;Chirurgisch;00;Daghosp.;3091
955;Hoofddiagnose niet geldig als ontslagdiagnose;Andere;00;Klass. hosp;63
955;Hoofddiagnose niet geldig als ontslagdiagnose;Andere;00;Daghosp.;38
956;Niet te groeperen verblijven;Andere;00;Klass. hosp;128
956;Niet te groeperen verblijven;Andere;00;Daghosp.;82
MMM;Daghospitalisatie;Andere;SS;Daghosp.;6394
