drg_36;drg_beschrijving;mdc_36;mdc_beschrijving;soort_drg;klassieke_hospitalisatie;daghospitalisatie
612;612 Pasgeborene, geboortegewicht 1500-1999g met resp. distr. syndr./ andere maj. resp. aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;399;0
613;613 Pasgeborene, geboortegewicht 1500-1999g met congenitale of perinatale infecties;15;15 Neonati - Perinatale aandoeningen;Medisch;36;0
614;614 Pasgeborene, geboortegewicht : 1500-1999g met of zonder andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;382;0
621;621 Pasgeborene, geboortegewicht 2000-2499g met majeure anomalie;15;15 Neonati - Perinatale aandoeningen;Medisch;142;0
622;622 Pasgeborene, geboortegewicht 2000-2499g met resp. distr. syndr./ andere maj. resp. aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;322;0
623;623 Pasgeborene, geboortegewicht 2000-2499g met congenitale of perinatale infecties;15;15 Neonati - Perinatale aandoeningen;Medisch;68;0
625;625 Pasgeborene, geboortegewicht 2000-2499g, hier geboren, met andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;221;0
626;626 Pasgeborene, geboortegewicht 2000-2499g, normale pasgeborene of pasgeborene met ander probleem;15;15 Neonati - Perinatale aandoeningen;Medisch;435;0
630;630 Pasgeborene, geboortegewicht > 2499g met majeure cardiovasculaire procedures;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;84;0
631;631 Pasgeborene, geboortegewicht > 2499g met andere majeure procedure;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;93;0
633;633 Pasgeborene, geboortegewicht > 2499g met majeure anomalie;15;15 Neonati - Perinatale aandoeningen;Medisch;476;0
634;634 Pasgeborene, geboortegewicht > 2499g  met resp. distr. syndr./ andere maj. resp. aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;760;0
636;636 Pasgeborene, geboortegewicht > 2499g met congenitale of perinatale infecties;15;15 Neonati - Perinatale aandoeningen;Medisch;289;0
639;639 Pasgeborene, geboortegewicht > 2499g hier geboren, met andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;676;0
640;640 Pasgeborene, geboortegewicht > 2499g normale pasgeborene of met andere problemen;15;15 Neonati - Perinatale aandoeningen;Medisch;2 297;11
650;650 Splenectomie;16;16 Bloed, bloedvormende organen en immuunsysteem;Chirurgisch;128;< 5
651;651 Andere procedures op bloed en bloedvormende organen;16;16 Bloed, bloedvormende organen en immuunsysteem;Chirurgisch;622;789
660;660 Majeure hemato/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;16;16 Bloed, bloedvormende organen en immuunsysteem;Medisch;3 461;5 216
661;661 Bloedstollingsstoornissen en bloedplaatjes;16;16 Bloed, bloedvormende organen en immuunsysteem;Medisch;1 143;2 017
662;662 Crisis van sikkelcelanemie;16;16 Bloed, bloedvormende organen en immuunsysteem;Medisch;969;141
663;663 Andere anemia en bloedstoornissen en hematopoietische organen;16;16 Bloed, bloedvormende organen en immuunsysteem;Medisch;10 477;22 101
680;680 Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Chirurgisch;954;43
681;681 Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Chirurgisch;2 682;1 556
690;690 Acute leukemie;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;1 155;5 341
691;691 Lymfoom, myeloom en niet-acute leukemie;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;3 008;7 455
692;692 Radiotherapie;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;394;353
694;694 Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;2 533;15 060
695;695 Chemotherapie voor acute leukemie;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;1 256;12 187
696;696 Andere chemotherapie;17;17 Lymf., hematop. en and. maligne aandoeningen, chemo- en radiotherapie;Medisch;17 604;475 915
710;710 Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;18 Infectieuze en parasitaire ziekten;Chirurgisch;1 834;152
711;711 Postoperatieve, posttraumatische en andere infecties van hulpmiddel met operatiezaal procedures;18;18 Infectieuze en parasitaire ziekten;Chirurgisch;1 988;500
720;720 Septicemie en gedissimineerde infecties;18;18 Infectieuze en parasitaire ziekten;Medisch;12 100;28
721;721 Postoperatieve, posttraumatische en andere infecties van hulpmiddel;18;18 Infectieuze en parasitaire ziekten;Medisch;4 220;302
722;722 Koorts;18;18 Infectieuze en parasitaire ziekten;Medisch;3 958;37
723;723 Virale ziekte;18;18 Infectieuze en parasitaire ziekten;Medisch;6 452;62
724;724 Andere infectieuze en parasitaire ziekten;18;18 Infectieuze en parasitaire ziekten;Medisch;3 274;269
740;740 Diagnose van mentale ziekte met operatiezaal procedure;19;19 Psychische stoornissen;Chirurgisch;740;105
750;750 Schizofrenie;19;19 Psychische stoornissen;Medisch;397;63
751;751 Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;19;19 Psychische stoornissen;Medisch;2 026;472
752;752 Persoonlijkheidsstoornissen en impulscontrolestoornissen;19;19 Psychische stoornissen;Medisch;286;< 5
753;753 Bipolaire stoornissen;19;19 Psychische stoornissen;Medisch;982;788
754;754 Depressie, behalve majeure depressieve stoornis;19;19 Psychische stoornissen;Medisch;1 685;43
755;755 Aanpassingstoornis en neuroses, behalve depressieve diagnosen;19;19 Psychische stoornissen;Medisch;1 905;69
756;756 Toestanden van acute angst en delirium;19;19 Psychische stoornissen;Medisch;3 755;61
757;757 Organische stoornissen van geestelijke gezondheid;19;19 Psychische stoornissen;Medisch;1 090;304
758;758 Gedragsstoornissen;19;19 Psychische stoornissen;Medisch;493;25
759;759 Eetstoornissen;19;19 Psychische stoornissen;Medisch;595;9
760;760 Andere stoornissen van mentale gezondheid;19;19 Psychische stoornissen;Medisch;4 319;542
770;770 Misbruik en afhankelijkheid van alcohol en drugs, ontslag tegen medisch advies;20;20 Alcohol en druggebruik;Medisch;519;< 5
772;772 Afhankelijkheid van alcohol en drugs met revalidatie of revalidatie-/detoxificatietherapie;20;20 Alcohol en druggebruik;Medisch;1 349;57
773;773 Misbruik en afhankelijkheid van opiaten;20;20 Alcohol en druggebruik;Medisch;482;6
774;774 Misbruik en afhankelijkheid van cocaïne;20;20 Alcohol en druggebruik;Medisch;577;< 5
775;775 Misbruik en afhankelijkheid van alcohol;20;20 Alcohol en druggebruik;Medisch;7 020;42
776;776 Misbruik en afhankelijkheid van andere drugs;20;20 Alcohol en druggebruik;Medisch;707;12
792;792 Extensieve operatiezaal procedures voor andere complicaties van behandeling;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Chirurgisch;1 101;244
793;793 Matig extensieve operatiezaal procedures voor andere complicaties van behandeling;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Chirurgisch;2 418;920
794;794 Niet extensieve operatiezaal procedures voor andere complicaties van behandeling;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Chirurgisch;805;800
810;810 Hemorragie of hematoom door complicatie;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;1 917;134
811;811 Allergische reacties;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;1 222;8
812;812 Vergiftiging door geneesmiddellen;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;4 346;41
813;813 Andere complicaties van behandeling;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;3 407;1 489
815;815 Andere diagnosen van letsels, vergiftigingen en toxische effecten;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;2 415;81
816;816 Toxische effecten van niet-medische substanties;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;1 247;23
817;817 Overdosis;21;21 Vergift., tox. effecten en andere letsels en compl. van behand.;Medisch;5 175;10
841;841 Extensieve derdegraadsbrandwonden met huidgreffe;22;22 Brandwonden;Chirurgisch;18;0
842;842 Brandwonden met huidgreffe behalve extensieve derdegraadsbrandwonden;22;22 Brandwonden;Chirurgisch;187;74
843;843 Extensieve derde graad of ¿'full thickness¿' brandwonden zonder huidgreffe;22;22 Brandwonden;Medisch;8;0
844;844 ¿'Partial thickness¿' brandwonden zonder huidgreffe;22;22 Brandwonden;Medisch;555;48
850;850 Procedures met diagnosen van revalidatie, nazorg of andere contacten met gezondheidsinstellingen;23;23 Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Chirurgisch;8 097;40 774
860;860 Revalidatie;23;23 Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Medisch;8 795;27
861;861 Tekens, symptomen en andere factoren met invloed op gezondheidstoestand;23;23 Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Medisch;28 953;308 271
862;862 Andere nazorg en convalescentie;23;23 Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Medisch;15 716;63 656
863;863 Neonatale nazorg;23;23 Revalidatie, nazorg, andere factoren die de gezondheid beïnvloeden;Medisch;967;< 5
890;890 HIV met multipele majeure HIV gerelateerde aandoeningen;24;24 HIV infecties;Medisch;147;< 5
892;892 HIV met majeure HIV gerelateerde aandoeningen;24;24 HIV infecties;Medisch;242;16
893;893 HIV met multipele significante HIV gerelateerde aandoeningen;24;24 HIV infecties;Medisch;43;< 5
894;894 HIV met één significante HIV aandoening of zonder significante gerelateerde aandoeningen;24;24 HIV infecties;Medisch;231;77
910;910 Craniotomie voor multipele significante traumata;25;25 Multipele significante traumata;Chirurgisch;172;< 5
911;911 Extensieve abdominale/thoracale procedures voor multipele significante traumata;25;25 Multipele significante traumata;Chirurgisch;176;< 5
912;912 Musculoskeletale en andere procedures voor multipele significante traumata;25;25 Multipele significante traumata;Chirurgisch;1 264;< 5
930;930 Multipele significante traumata zonder operatiezaal procedures;25;25 Multipele significante traumata;Medisch;1 338;23
950;950 Extensieve procedure zonder verband met hoofddiagnose;00;00 Restgroep;Chirurgisch;3 724;1 174
951;951 Matig uitgebreide procedure zonder verband met hoofddiagnose;00;00 Restgroep;Chirurgisch;5 667;2 461
952;952 Niet-extensieve procedure zonder verband met hoofddiagnose;00;00 Restgroep;Chirurgisch;3 250;2 334
955;955 Hoofddiagnose niet geldig als ontslagdiagnose;00;00 Restgroep;Andere;19;9
956;956 Niet te groeperen verblijf;00;00 Restgroep;Andere;75;59
AAA;AAA Psychiatrie (A, K, T);SS;SS Speciale DRGs;Andere;0;0
DDD;DDD Voorlopige registratie;SS;SS Speciale DRGs;Andere;0;0
MMM;MMM Daghospitalisatie;SS;SS Speciale DRGs;Andere;0;7 234
UAA;UAA Psychiatrische spoedgevallendienst;SS;SS Speciale DRGs;Andere;0;0
UUU;UUU Spoedgevallendienst;SS;SS Speciale DRGs;Andere;0;0
XXX;XXX Dummy diagnose;SS;SS Speciale DRGs;Andere;0;0
;;;;;1 662 654;2 193 314
