drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
692;Radiotherapie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;458;167
694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;2764;15374
695;Chemotherapie voor acute leukemie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;1333;10189
696;Andere chemotherapie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;21492;434857
710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;Infectie en parasitaire ziekten;Chirurgisch;2952;124
711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;18;Infectie en parasitaire ziekten;Chirurgisch;2593;520
720;Septicemie en gedissemineerde infecties;18;Infectie en parasitaire ziekten;Medisch;13477;11
721;Postoperatieve, posttraumatische en andere toestel infecties;18;Infectie en parasitaire ziekten;Medisch;4346;379
722;Koorts;18;Infectie en parasitaire ziekten;Medisch;3628;27
723;Virale ziekte;18;Infectie en parasitaire ziekten;Medisch;10146;38
724;Andere infectieuze en parasitaire ziekten;18;Infectie en parasitaire ziekten;Medisch;3434;251
740;Diagnosen van mentale ziekte met operatiezaal procedures;19;Psychische stoornissen;Chirurgisch;954;118
750;Schizofrenie;19;Psychische stoornissen;Medisch;583;49
751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;19;Psychische stoornissen;Medisch;2606;785
752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;19;Psychische stoornissen;Medisch;404;< 5
753;Bipolaire stoornissen;19;Psychische stoornissen;Medisch;1409;556
754;Depressie, behalve majeure depressieve diagnosen;19;Psychische stoornissen;Medisch;2410;101
755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;19;Psychische stoornissen;Medisch;2452;102
756;Acute angst en delirante toestanden;19;Psychische stoornissen;Medisch;4372;21
757;Organische stoornissen van de geestelijke gezondheid;19;Psychische stoornissen;Medisch;4851;209
758;Gedragsstoornissen;19;Psychische stoornissen;Medisch;598;21
759;Eetstoornissen;19;Psychische stoornissen;Medisch;295;5
760;Andere stoornissen van de mentale gezondheid;19;Psychische stoornissen;Medisch;4937;439
770;Alcohol en drugs- misbruik of verslaving, ontslag tegen medisch advies;20;Alcohol en druggebruik;Medisch;594;< 5
772;Alcohol en drugs- verslaving met revalidatietherapie of revalidatie/detoxificatietherapie;20;Alcohol en druggebruik;Medisch;1755;11
773;Misbruik van en verslaving aan opiaten;20;Alcohol en druggebruik;Medisch;617;< 5
774;Misbruik van en verslaving aan cocaine;20;Alcohol en druggebruik;Medisch;577;< 5
775;Misbruik van en verslaving aan alcohol;20;Alcohol en druggebruik;Medisch;8726;44
776;Misbruik van en verslaving aan andere drugs;20;Alcohol en druggebruik;Medisch;1014;8
791;Operatiezaal procedures voor andere complicaties van de behandeling;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;4561;1707
811;Allergische reacties;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;1507;< 5
812;Vergiftiging door geneesmiddellen;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;11063;33
813;Andere complicaties van de behandeling;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;5404;1318
815;Andere diagnosen van letsels, vergiftigingen en toxische effecten;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;2388;108
816;Toxische effecten van niet-medische substanties;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;1854;25
841;Extensieve derde graad brandwonden met huidgreffe;22;Brandwonden;Chirurgisch;21;0
842;Brandwonden met huidgreffe behalve extensieve derde graad brandwonden;22;Brandwonden;Chirurgisch;276;72
843;Extensieve derde graad of “full thickness” brandwonden zonder huidgreffe;22;Brandwonden;Medisch;22;< 5
844;“Partial thickness” brandwonden zonder huidgreffe;22;Brandwonden;Medisch;716;53
850;Procedures met diagnosen van revalidatie, nazorg of andere contacten met gezondheidsinstellingen;23;Factoren die de gezondheid beïnvloeden;Chirurgisch;10046;38696
860;Revalidatie;23;Factoren die de gezondheid beïnvloeden;Medisch;11376;12
861;Tekens, symptomen en andere factoren met invloed op de gezondheidstoestand;23;Factoren die de gezondheid beïnvloeden;Medisch;33868;287104
862;Andere nazorg en convalescentie;23;Factoren die de gezondheid beïnvloeden;Medisch;16806;68515
863;Neonatale nazorg;23;Factoren die de gezondheid beïnvloeden;Medisch;945;10
890;HIV met multipele majeure HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;156;< 5
892;HIV met majeure HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;309;40
893;HIV met multipele significante HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;57;< 5
894;HIV met een significante HIV aandoening of zonder significante gerelateerde aandoeningen;24;HIV infecties;Medisch;368;82
910;Craniotomie voor multipele significante traumata;25;Multipele traumata;Chirurgisch;177;0
911;Extensieve abdominale/thoracale procedures voor multipele significante traumata;25;Multipele traumata;Chirurgisch;196;0
912;Musculo-skeletale en andere procedures voor multipele significante traumata;25;Multipele traumata;Chirurgisch;1372;5
930;Multipele significante traumata zonder operatiezaal procedures;25;Multipele traumata;Medisch;1413;17
950;Extensieve procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;4681;1507
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;12783;3381
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;5129;3102
955;Hoofddiagnose niet geldig als ontslagdiagnose;0;Restgroep;Andere;38;9
956;Niet te groeperen verblijven;0;Restgroep;Andere;99;36
AAA;Psychiatrie (A, K, T);SS;Speciale DRG's;Andere;0;0
DDD;Voorlopige registratie;SS;Speciale DRG's;Andere;0;0
MMM;Daghospitalisatie;SS;Speciale DRG's;Andere;0;7374
UAA;Psychiatrische spoedgevallendienst;SS;Speciale DRG's;Andere;0;0
UUU;Spoedgevallendienst;SS;Speciale DRG's;Andere;0;0
XXX;Dummy diagnose;SS;Speciale DRG's;Andere;0;0
Totaal;;;;;1836284;2130568
