drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
680;Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Chirurgisch;962;37
681;Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Chirurgisch;3.776;1.426
690;Acute leukemie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;1.041;3.808
691;Lymfoom, myeloom en niet-acute leukemie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;3.589;8.144
692;Radiotherapie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;548;327
694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;2.685;14.238
695;Chemotherapie voor acute leukemie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;1.178;6.833
696;Andere chemotherapie;17;Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasmata;Medisch;22.347;391.108
710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;Infectie en parasitaire ziekten;Chirurgisch;2.882;108
711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;18;Infectie en parasitaire ziekten;Chirurgisch;2.174;343
720;Septicemie en gedissemineerde infecties;18;Infectie en parasitaire ziekten;Medisch;12.341;12
721;Postoperatieve, posttraumatische en andere toestel infecties;18;Infectie en parasitaire ziekten;Medisch;3.974;358
722;Koorts;18;Infectie en parasitaire ziekten;Medisch;3.683;30
723;Virale ziekte;18;Infectie en parasitaire ziekten;Medisch;9.247;51
724;Andere infectieuze en parasitaire ziekten;18;Infectie en parasitaire ziekten;Medisch;3.385;370
740;Diagnosen van mentale ziekte met operatiezaal procedures;19;Psychische stoornissen;Chirurgisch;776;47
750;Schizofrenie;19;Psychische stoornissen;Medisch;637;< 5
751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;19;Psychische stoornissen;Medisch;2.596;1.841
752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;19;Psychische stoornissen;Medisch;410;< 5
753;Bipolaire stoornissen;19;Psychische stoornissen;Medisch;1.401;342
754;Depressie, behalve majeure depressieve diagnosen;19;Psychische stoornissen;Medisch;2.860;137
755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;19;Psychische stoornissen;Medisch;2.677;125
756;Acute angst en delirante toestanden;19;Psychische stoornissen;Medisch;3.889;20
757;Organische stoornissen van de geestelijke gezondheid;19;Psychische stoornissen;Medisch;4.969;142
758;Gedragsstoornissen;19;Psychische stoornissen;Medisch;626;33
759;Eetstoornissen;19;Psychische stoornissen;Medisch;290;8
760;Andere stoornissen van de mentale gezondheid;19;Psychische stoornissen;Medisch;4.680;376
770;Alcohol en drugs- misbruik of verslaving, ontslag tegen medisch advies;20;Alcohol en druggebruik;Medisch;633;< 5
772;Alcohol en drugs- verslaving met revalidatietherapie of revalidatie/detoxificatietherapie;20;Alcohol en druggebruik;Medisch;1.520;< 5
773;Misbruik van en verslaving aan opiaten;20;Alcohol en druggebruik;Medisch;579;< 5
774;Misbruik van en verslaving aan cocaine;20;Alcohol en druggebruik;Medisch;484;< 5
775;Misbruik van en verslaving aan alcohol;20;Alcohol en druggebruik;Medisch;8.928;70
776;Misbruik van en verslaving aan andere drugs;20;Alcohol en druggebruik;Medisch;912;6
791;Operatiezaal procedures voor andere complicaties van de behandeling;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;4.381;1.569
811;Allergische reacties;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;1.383;9
812;Vergiftiging door geneesmiddellen;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;10.933;36
813;Andere complicaties van de behandeling;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;5.017;1.184
815;Andere diagnosen van letsels, vergiftigingen en toxische effecten;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;2.576;62
816;Toxische effecten van niet-medische substanties;21;Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;1.902;23
841;Extensieve derde graad brandwonden met huidgreffe;22;Brandwonden;Chirurgisch;16;0
842;Brandwonden met huidgreffe behalve extensieve derde graad brandwonden;22;Brandwonden;Chirurgisch;282;61
843;Extensieve derde graad of “full thickness” brandwonden zonder huidgreffe;22;Brandwonden;Medisch;14;< 5
844;“Partial thickness” brandwonden zonder huidgreffe;22;Brandwonden;Medisch;766;56
850;Procedures met diagnosen van revalidatie, nazorg of andere contacten met gezondheidsinstellingen;23;Factoren die de gezondheid beïnvloeden;Chirurgisch;11.119;36.398
860;Revalidatie;23;Factoren die de gezondheid beïnvloeden;Medisch;11.885;12
861;Tekens, symptomen en andere factoren met invloed op de gezondheidstoestand;23;Factoren die de gezondheid beïnvloeden;Medisch;36.785;242.780
862;Andere nazorg en convalescentie;23;Factoren die de gezondheid beïnvloeden;Medisch;20.800;69.076
863;Neonatale nazorg;23;Factoren die de gezondheid beïnvloeden;Medisch;989;13
890;HIV met multipele majeure HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;161;0
892;HIV met majeure HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;265;118
893;HIV met multipele significante HIV gerelateerde aandoeningen;24;HIV infecties;Medisch;56;0
894;HIV met een significante HIV aandoening of zonder significante gerelateerde aandoeningen;24;HIV infecties;Medisch;348;110
910;Craniotomie voor multipele significante traumata;25;Multipele traumata;Chirurgisch;197;0
911;Extensieve abdominale/thoracale procedures voor multipele significante traumata;25;Multipele traumata;Chirurgisch;214;< 5
912;Musculo-skeletale en andere procedures voor multipele significante traumata;25;Multipele traumata;Chirurgisch;1.218;< 5
930;Multipele significante traumata zonder operatiezaal procedures;25;Multipele traumata;Medisch;1.307;14
950;Extensieve procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;4.960;1.542
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;13.535;3.675
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;0;Restgroep;Chirurgisch;5.437;3.222
955;Hoofddiagnose niet geldig als ontslagdiagnose;0;Restgroep;Andere;51;29
956;Niet te groeperen verblijven;0;Restgroep;Andere;124;71
AAA;Psychiatrie (A, K, T);SS;Speciale DRG's;Andere;0;0
DDD;Voorlopige registratie;SS;Speciale DRG's;Andere;0;0
MMM;Daghospitalisatie;SS;Speciale DRG's;Andere;0;7.200
UAA;Psychiatrische spoedgevallendienst;SS;Speciale DRG's;Andere;0;0
UUU;Spoedgevallendienst;SS;Speciale DRG's;Andere;0;0
XXX;Dummy diagnose;SS;Speciale DRG's;Andere;0;0
;;;;;1.829.201;1.971.935
